date,price
2016-01-08,20.64
2016-01-09,20.14
2016-01-14,19.74
2016-01-19,19.34
2016-01-30,19.74
2016-02-06,20.24
2016-02-12,20.24
2016-02-18,20.74
2016-03-01,20.74
2016-03-04,21.24
2016-03-09,21.74
2016-03-12,22.34
2016-03-17,21.94
2016-03-19,22.34
2016-03-30,22.34
2016-03-31,21.94
2016-04-02,21.94
2016-04-06,21.54
2016-04-09,22.04
2016-04-13,22.04
2016-04-21,22.54
2016-04-23,23.04
2016-04-26,23.44
2016-04-29,23.94
2016-05-05,23.54
2016-05-14,24.14
2016-05-16,24.14
2016-05-19,24.74
2016-05-31,25.14
2016-06-10,25.64
2016-06-14,25.24
2016-06-16,24.94
2016-06-18,24.64
2016-06-23,25.14
2016-06-29,24.74
2016-07-01,25.14
2016-07-12,25.14
2016-07-13,24.74
2016-07-16,24.54
2016-07-22,24.24
2016-07-27,23.84
2016-07-29,23.54
2016-08-02,23.14
2016-08-05,22.84
2016-08-09,22.84
2016-08-16,23.34
2016-08-18,23.84
2016-08-20,24.24
2016-08-26,23.74
2016-08-31,23.74
2016-09-03,23.24
2016-09-13,23.74
2016-09-16,23.74
2016-09-17,23.34
2016-10-01,23.74
2016-10-08,24.34
2016-10-14,24.84
2016-10-16,24.84
2016-10-22,24.64
2016-11-04,24.24
2016-11-09,24.04
2016-11-16,24.04
2016-11-24,24.54
2016-12-07,25.14
2016-12-10,25.54
2016-12-14,26.14
2016-12-16,26.14
