date,price
2023-01-05,35.05
2023-01-06,34.75
2023-01-07,34.45
2023-01-13,34.75
2023-01-14,35.25
2023-01-17,35.55
2023-01-20,36.15
2023-01-21,36.75
2023-01-24,37.05
2023-01-26,36.65
2023-01-31,36.65
2023-02-01,36.25
2023-02-02,35.95
2023-02-04,35.65
2023-02-08,35.35
2023-02-09,35.85
2023-02-10,36.25
2023-02-15,36.25
2023-02-18,36.55
2023-02-21,36.05
2023-02-22,36.05
2023-02-23,36.35
2023-02-25,35.85
2023-02-28,36.35
2023-03-08,36.85
2023-03-10,36.35
2023-03-14,36.05
2023-03-18,35.45
2023-03-22,34.85
2023-03-24,35.35
2023-03-25,35.75
2023-03-30,36.35
2023-04-04,36.05
2023-04-05,36.65
2023-04-06,37.25
2023-04-07,37.25
2023-04-20,36.85
2023-04-22,36.45
2023-04-26,36.15
2023-04-27,36.55
2023-04-28,35.95
2023-04-29,35.65
2023-05-04,35.65
2023-05-09,35.05
2023-05-11,34.75
2023-05-13,35.15
2023-05-15,35.15
2023-05-16,34.75
2023-05-23,35.05
2023-05-26,35.45
2023-05-30,35.15
2023-06-02,34.65
2023-06-07,35.25
2023-06-10,35.75
2023-06-14,35.25
2023-06-17,34.95
2023-06-20,35.45
2023-06-27,35.15
2023-07-02,35.15
2023-07-04,35.65
2023-07-06,35.15
2023-07-08,35.55
2023-07-11,36.05
2023-07-13,36.35
2023-07-14,36.65
2023-07-15,36.95
2023-07-18,37.25
2023-07-19,36.95
2023-07-20,37.25
2023-07-22,37.55
2023-07-25,37.95
2023-07-26,38.35
2023-08-03,38.95
2023-08-05,38.55
2023-08-09,38.85
2023-08-12,39.55
2023-08-29,40.05
2023-09-01,39.65
2023-09-02,39.35
2023-09-12,39.65
2023-09-15,40.05
2023-09-16,40.45
2023-09-20,40.45
2023-09-23,39.95
2023-09-27,39.45
2023-10-03,39.15
2023-10-04,38.75
2023-10-06,38.25
2023-10-07,37.75
2023-10-11,38.15
2023-10-17,37.85
2023-10-21,38.25
2023-10-31,38.55
2023-11-01,38.25
2023-11-07,37.25
2023-11-09,36.65
2023-11-10,36.25
2023-11-15,36.65
2023-11-16,37.05
2023-11-18,36.45
2023-11-22,36.05
2023-12-05,35.65
2023-12-07,35.15
2023-12-09,34.75
2023-12-19,35.15
2023-12-22,35.55
2023-12-29,35.25
