date,price
2017-01-05,25.49
2017-01-13,24.89
2017-01-16,24.89
2017-01-19,25.19
2017-02-04,25.79
2017-02-16,25.79
2017-02-23,25.39
2017-03-04,24.89
2017-03-11,24.59
2017-03-16,24.09
2017-03-24,24.09
2017-03-29,24.09
2017-04-01,24.39
2017-04-06,24.79
2017-04-08,25.19
2017-04-16,25.19
2017-04-22,24.89
2017-04-27,24.59
2017-05-04,24.19
2017-05-06,23.89
2017-05-09,23.89
2017-05-13,24.39
2017-05-16,24.39
2017-05-23,24.89
2017-05-31,24.39
2017-06-06,23.79
2017-06-10,23.49
2017-06-16,23.09
2017-06-24,22.59
2017-07-01,23.09
2017-07-05,23.09
2017-07-16,23.09
2017-07-22,23.59
2017-08-02,24.19
2017-08-16,24.19
2017-08-19,24.19
2017-08-30,24.69
2017-09-07,24.99
2017-09-16,24.99
2017-09-27,24.99
2017-09-29,25.39
2017-10-05,24.99
2017-10-12,24.59
2017-10-26,24.59
2017-11-03,25.19
2017-11-07,25.79
2017-11-16,25.79
2017-11-23,25.79
2017-12-08,25.39
2017-12-16,25.39
2017-12-21,25.39
2017-12-26,25.79
2017-12-30,25.49
